Respondent,Age,Country,EdLevel,YearsCodePro
70,42.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0
71,21.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
74,24.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
75,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
76,32.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
78,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
80,24.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
83,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
84,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
86,26.0,China,Some college/university study without earning a degree,3.0
87,36.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
90,25.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
92,35.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
94,27.0,United Kingdom,Some college/university study without earning a degree,5.0
95,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
97,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
100,39.0,Canada,Some college/university study without earning a degree,20.0
102,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
104,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
109,41.0,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
110,26.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
111,54.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0
114,26.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
115,21.0,Sweden,Associate degree,0.5
116,31.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",9.0
117,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
118,26.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
119,28.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
120,26.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
124,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
126,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
128,30.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
129,34.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",11.0
130,23.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
135,32.0,Russian Federation,Associate degree,4.0
139,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
140,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
144,47.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
147,31.0,Argentina,Some college/university study without earning a degree,5.0
148,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
151,34.0,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13.0
155,34.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
157,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
158,29.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
159,35.0,South Africa,,15.0
163,32.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
164,47.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
166,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
173,31.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
174,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
176,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
177,22.0,Australia,Some college/university study without earning a degree,2.0
179,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
181,29.0,Argentina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",9.0
183,30.0,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
184,29.0,Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
188,28.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
189,28.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
190,27.0,United Arab Emirates,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
191,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
192,28.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
194,29.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
196,40.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16.0
201,35.0,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
202,45.0,Canada,Some college/university study without earning a degree,20.0
207,34.0,Hong Kong (S.A.R.),"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
209,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
211,30.0,United States,Associate degree,11.0
212,30.0,Netherlands,,2.0
213,41.0,United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22.0
216,35.0,Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
217,36.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
219,39.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
220,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
223,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
224,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
227,33.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
231,31.0,Nicaragua,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
232,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
234,45.0,Sweden,I never completed any formal education,21.0
238,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",9.0
241,32.0,Canada,Associate degree,10.0
245,35.0,Sweden,Some college/university study without earning a degree,1.0
246,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
247,33.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",9.0
249,24.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
252,27.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
253,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0
254,41.0,Australia,Associate degree,20.0
259,31.0,Denmark,Associate degree,5.0
261,27.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
262,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
268,25.0,Japan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
271,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
273,29.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
275,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",16.0
276,29.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
277,29.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
279,27.0,Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
280,47.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22.0
283,26.0,Hong Kong (S.A.R.),Associate degree,4.0
285,32.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
286,23.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
289,37.0,United States,Some college/university study without earning a degree,10.0
292,27.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
293,31.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
301,39.0,Guatemala,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0
302,33.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
304,30.0,Netherlands,Some college/university study without earning a degree,8.0
305,28.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
306,51.0,Australia,Associate degree,29.0
308,36.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
310,32.0,Latvia,Associate degree,10.0
311,24.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
312,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
316,22.0,United States,Some college/university study without earning a degree,8.0
317,24.0,Poland,Some college/university study without earning a degree,3.0
319,30.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
321,32.0,United States,Some college/university study without earning a degree,8.0
322,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
324,34.0,Bangladesh,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11.0
326,34.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
328,31.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
329,47.0,Ukraine,Some college/university study without earning a degree,10.0
330,35.0,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",13.0
332,24.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
333,33.0,Russian Federation,Some college/university study without earning a degree,5.0
334,30.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
335,30.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
338,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
340,35.0,Mexico,Some college/university study without earning a degree,13.0
341,23.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1.0
345,33.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12.0
351,25.0,France,,3.0
352,26.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
354,25.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
356,29.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
357,33.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
364,40.0,United States,Some college/university study without earning a degree,8.0
372,25.0,Egypt,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
373,37.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
374,26.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
375,57.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0
378,32.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
382,26.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
383,38.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
384,28.0,United States,Some college/university study without earning a degree,4.0
388,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
389,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
392,52.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0
394,30.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0
395,41.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",18.0
398,22.0,United States,Some college/university study without earning a degree,2.0
400,48.0,Hungary,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20.0
401,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
402,49.0,France,"Professional degree (JD, MD, etc.)",25.0
404,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
405,30.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
406,24.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
408,32.0,United States,"Professional degree (JD, MD, etc.)",12.0
410,43.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
411,33.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11.0
413,35.0,New Zealand,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",17.0
414,44.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20.0
416,21.0,United States,Some college/university study without earning a degree,2.0
421,27.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
424,28.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
426,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
427,32.0,New Zealand,Associate degree,2.0
428,28.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
429,51.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
432,24.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
434,41.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
435,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
436,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",17.0
437,25.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
439,23.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
443,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0
445,31.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
447,29.0,Serbia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
450,24.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
452,35.0,United States,I never completed any formal education,7.0
453,39.0,New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
460,32.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
462,37.0,United States,Some college/university study without earning a degree,21.0
463,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
466,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
467,23.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
469,28.0,United Kingdom,Some college/university study without earning a degree,5.0
471,26.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
475,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
476,29.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
479,46.0,United States,,20.0
485,22.0,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0
486,31.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
489,32.0,Poland,Some college/university study without earning a degree,8.0
497,41.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18.0
498,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
499,27.0,Mauritius,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
500,27.0,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
503,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
510,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
520,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
525,31.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
526,32.0,Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
528,29.0,South Korea,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
529,20.0,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2.0
533,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
539,40.0,United States,Some college/university study without earning a degree,20.0
540,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
542,30.0,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
545,24.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
547,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
550,37.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
553,42.0,Sweden,Some college/university study without earning a degree,11.0
554,25.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
555,24.0,Bulgaria,Some college/university study without earning a degree,3.0
558,36.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18.0
561,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
562,23.0,Canada,,1.0
563,35.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11.0
564,35.0,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)",18.0
565,20.0,Israel,Some college/university study without earning a degree,0.5
566,40.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
571,30.0,France,"Other doctoral degree (Ph.D, Ed.D., etc.)",6.0
572,21.0,Brazil,Some college/university study without earning a degree,0.5
574,30.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
575,28.0,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
578,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
581,27.0,Slovenia,Some college/university study without earning a degree,8.0
582,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
583,23.0,Argentina,Some college/university study without earning a degree,3.0
586,31.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
587,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
588,31.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13.0
589,24.0,United States,Some college/university study without earning a degree,1.0
590,25.0,Ukraine,Some college/university study without earning a degree,6.0
591,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
594,23.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
596,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
598,41.0,Denmark,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20.0
602,31.0,Estonia,Some college/university study without earning a degree,10.0
603,43.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15.0
604,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
607,29.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
608,28.0,Spain,"Other doctoral degree (Ph.D, Ed.D., etc.)",9.0
613,34.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15.0
614,34.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",14.0
615,29.0,Iran,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
617,27.0,Norway,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
626,30.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
628,33.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
637,31.0,Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
639,24.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
640,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
643,39.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
645,30.0,Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
647,23.0,Republic of Moldova,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
650,24.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
654,37.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
657,37.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20.0
658,28.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
659,28.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
660,35.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",2.0
661,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
662,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
664,30.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
665,52.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0
666,33.0,United States,Associate degree,10.0
667,36.0,United Kingdom,Some college/university study without earning a degree,17.0
668,27.0,Russian Federation,Some college/university study without earning a degree,0.5
669,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
670,28.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
671,29.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
674,18.0,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0
675,28.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
677,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
679,27.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
680,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13.0
681,24.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
683,23.0,United States,Some college/university study without earning a degree,6.0
685,29.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
686,37.0,South Africa,Some college/university study without earning a degree,12.0
688,19.0,Nigeria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5
689,24.0,United States,Associate degree,3.0
691,28.0,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0
693,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
694,37.0,United States,Associate degree,12.0
695,25.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
696,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
697,35.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13.0
699,28.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
701,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12.0
703,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
705,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
707,24.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
708,36.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
712,28.0,Brazil,Associate degree,5.0
714,22.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
715,41.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
718,35.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
720,34.0,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5
721,36.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
724,39.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",16.0
725,49.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0
729,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",18.0
731,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
732,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
736,33.0,Thailand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
740,29.0,United Kingdom,Some college/university study without earning a degree,0.5
741,22.0,United States,Some college/university study without earning a degree,3.0
742,19.0,Russian Federation,Some college/university study without earning a degree,0.5
743,26.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
744,38.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15.0
746,32.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
749,34.0,Mongolia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
751,32.0,Netherlands,Some college/university study without earning a degree,10.0
752,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
753,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
756,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
757,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
758,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
760,42.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
761,28.0,Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
762,45.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
764,33.0,Chile,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
765,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
768,34.0,Spain,Some college/university study without earning a degree,10.0
769,24.0,Malaysia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
